,cor_name,rpt_year,rpt_month,rcpNo,dcmNo,eleId,offset,length,dtd,tocNo
0,AJ네트웍스,2007,6,20070823000069,1705377,2642,268716,596820,dart2.dtd,19
1,AK홀딩스,2007,6,20071228000216,1778319,4311,448314,411003,dart2.dtd,22
2,BYC,2007,6,20070814001377,1699608,2654,275137,480788,dart2.dtd,20
3,CJ,2007,6,20070814001586,1700118,7122,769979,988822,dart2.dtd,20
4,CJ CGV,2007,6,20070814000015,1696223,1787,180857,355715,dart2.dtd,11
5,CJ대한통운,2007,6,20070814000141,1696488,4358,483727,680526,dart2.dtd,11
6,CJ씨푸드,2007,6,20070810000033,1692539,3615,382402,582826,dart2.dtd,11
7,CS홀딩스,2007,6,20070814000565,1697571,2375,248116,389800,dart2.dtd,22
8,DB,2007,6,20070814001387,1699634,3803,405709,596022,dart2.dtd,20
9,DB금융투자,2007,9,20071114000278,1750659,5135,557244,914921,dart2.dtd,16
10,DB손해보험,2007,9,20071114001801,1752819,2777,290291,577035,dart2.dtd,16
11,DL,2007,6,20070814001069,1698804,6385,691116,800287,dart2.dtd,20
12,DL건설,2007,6,20070814001679,1700356,3427,366683,476412,dart2.dtd,20
13,DN오토모티브,2007,6,20070814001596,1700137,3336,347443,428957,dart2.dtd,22
14,DRB동일,2007,6,20070814000627,1697714,3210,329167,781784,dart2.dtd,20
15,DSR제강,2007,6,20070813000216,1694593,2141,211548,277327,dart2.dtd,20
16,E1,2007,6,20070814001410,1699690,3644,404255,271005,dart2.dtd,19
17,F&F 홀딩스,2007,6,20070814000230,1696720,2869,303898,402258,dart2.dtd,20
18,GS,2007,6,20070814000096,1696378,2322,251032,443522,dart2.dtd,11
19,GS건설,2007,6,20070814000880,1698322,8692,960517,538393,dart2.dtd,20
20,GS글로벌,2007,6,20070814001862,1700829,3754,379118,493978,dart2.dtd,19
21,GS리테일,2007,6,20070814000065,1696319,3569,386499,172258,dart2.dtd,19
22,HDC,2007,6,20070814001192,1699094,6036,659721,823687,dart2.dtd,20
23,HDC현대EP,2007,6,20070814001664,1700325,3613,372223,606026,dart2.dtd,20
24,HL D&I,2007,6,20070814000081,1696349,4651,495681,490823,dart2.dtd,20
25,HLB글로벌,2007,6,20070814000573,1697587,2182,228325,309705,dart2.dtd,20
26,HMM,2007,6,20070814001429,1699730,3275,347668,735150,dart2.dtd,20
27,JW중외제약,2007,6,20070814000441,1697245,3348,363503,620868,dart2.dtd,20
28,KC그린홀딩스,2007,6,20070814000637,1697737,2678,280326,623855,dart2.dtd,20
29,KEC,2007,6,20070827000283,1707248,6873,730990,583488,dart2.dtd,22
30,KG스틸,2007,6,20070814001236,1699220,3206,329066,846891,dart2.dtd,20
31,KG케미칼,2007,6,20070814001242,1699238,3978,442815,516073,dart2.dtd,20
32,KH 필룩스,2007,6,20070814001613,1700178,2328,231155,377983,dart2.dtd,20
33,KISCO홀딩스,2007,6,20070814000286,1696847,3065,323089,615611,dart2.dtd,20
34,KPX케미칼,2007,6,20070814001631,1700233,2461,256142,567648,dart2.dtd,20
35,KPX홀딩스,2007,6,20070814001239,1699227,1433,144557,285525,dart2.dtd,11
36,KR모터스,2007,6,20070814000091,1696368,2486,260844,478457,dart2.dtd,20
37,KTcs,2007,6,20070814000093,1696372,1659,160317,129038,dart2.dtd,11
38,KTis,2007,6,20070813000293,1694826,1557,159705,184062,dart2.dtd,20
39,LF,2007,6,20070813000631,1695941,3450,351668,229207,dart2.dtd,20
40,LG,2007,6,20070814001071,1698807,3589,379330,368778,dart2.dtd,11
41,LG디스플레이,2007,6,20070814001286,1699351,2748,307566,356506,dart2.dtd,20
42,LG생활건강,2007,6,20070814000550,1697535,3425,352541,551952,dart2.dtd,20
43,LG유플러스,2007,6,20070814001233,1699212,4259,456068,230678,dart2.dtd,20
44,LG전자,2007,6,20070814001731,1700465,5291,581364,539080,dart2.dtd,20
45,LG화학,2007,6,20070814001188,1699085,4470,480538,716742,dart2.dtd,20
46,LS,2007,6,20070814001002,1698636,5761,618268,987032,dart2.dtd,20
47,LS네트웍스,2007,6,20070813000183,1694517,3207,337666,290491,dart2.dtd,19
48,LX인터내셔널,2007,6,20070813000588,1695809,4407,465452,1134987,dart2.dtd,19
49,MH에탄올,2007,6,20070813000149,1694422,2825,295657,600584,dart2.dtd,20
50,NAVER,2007,6,20070814000965,1698541,2569,260654,411176,dart2.dtd,11
51,NH투자증권,2007,9,20071114001843,1752898,4033,451044,667310,dart2.dtd,18
52,NICE,2007,6,20070814001490,1699878,2295,249760,372818,dart2.dtd,11
53,NI스틸,2007,6,20070814001911,1700939,4270,445781,509624,dart2.dtd,20
54,OCI,2007,6,20070814000586,1697620,5169,555319,619344,dart2.dtd,20
55,POSCO홀딩스,2007,6,20070814000258,1696784,3168,337610,436901,dart2.dtd,20
56,S-Oil,2007,6,20070814001455,1699798,5017,529457,458669,dart2.dtd,20
57,SBS,2007,6,20070814000149,1696505,2100,230398,570371,dart2.dtd,20
58,SGC에너지,2007,6,20070814000745,1698006,3537,366540,761041,dart2.dtd,20
59,SG글로벌,2007,6,20070814000507,1697413,2754,307870,642552,dart2.dtd,20
60,SG세계물산,2007,6,20070814001059,1698781,2984,304116,790703,dart2.dtd,20
61,SHD,2007,6,20070813000358,1695025,3242,315224,312427,dart2.dtd,20
62,SH에너지화학,2007,6,20070814000387,1697089,3612,366020,599365,dart2.dtd,20
63,SIMPAC,2007,6,20070814000927,1698441,2448,251536,302188,dart2.dtd,20
64,SK,2007,6,20070814000099,1696386,4284,459969,855804,dart2.dtd,19
65,SKC,2007,6,20070814000124,1696444,5083,544658,1087682,dart2.dtd,20
66,SK가스,2007,6,20070814001206,1699134,3173,330162,245212,dart2.dtd,19
67,SK네트웍스,2007,6,20070814000089,1696366,4607,499394,868395,dart2.dtd,19
68,SK디스커버리,2007,6,20070814001904,1700927,3876,417578,1461931,dart2.dtd,20
69,SK렌터카,2007,6,20070814002094,1701407,2857,297178,276639,dart2.dtd,11
70,SK증권,2007,9,20071114000648,1751133,5471,558092,371171,dart2.dtd,16
71,SK텔레콤,2007,6,20070814001808,1700686,3648,397320,1457344,dart2.dtd,11
72,SK하이닉스,2007,6,20070814000160,1696528,3904,411847,732223,dart2.dtd,20
73,SNT모티브,2007,6,20070814000118,1696432,4739,500739,455237,dart2.dtd,20
74,SNT중공업,2007,6,20070814000083,1696355,3487,377490,468988,dart2.dtd,20
75,SNT홀딩스,2007,6,20070810000394,1693528,2770,303133,487574,dart2.dtd,20
76,SPC삼립,2007,6,20070814001721,1700442,2440,259700,347926,dart2.dtd,20
77,STX,2007,6,20070814000810,1698155,2655,284358,541245,dart2.dtd,19
78,STX엔진,2007,6,20070814000661,1697783,3260,346733,578188,dart2.dtd,20
79,SUN&L,2007,3,20070515000584,1643149,2770,285614,648021,dart2.dtd,20
80,TCC스틸,2007,6,20070814000234,1696727,2747,281154,875970,dart2.dtd,20
81,TYM,2007,6,20070810000321,1693334,3892,417415,659045,dart2.dtd,20
82,WISCOM,2007,6,20070813000558,1695690,3678,386505,310667,dart2.dtd,20
83,YG PLUS,2007,6,20070814001566,1700071,1827,184224,260549,dart2.dtd,13
84,가온전선,2007,6,20070814000058,1696307,2862,306986,324359,dart2.dtd,20
85,강남제비스코,2007,6,20070814000750,1698018,4247,441291,492131,dart2.dtd,20
